            main_id            |plx_value|     rvz_redshift     |teff 
-------------------------------|---------|----------------------|-----
"*   1 Cas"                    |2.89     |-3.035387198424555E-5 |24135
"*   1 Cas"                    |2.89     |-3.035387198424555E-5 |27100
"*   1 Cas"                    |2.89     |-3.035387198424555E-5 |28390
"*   1 Per"                    |2.6944   |-1.8012298919178882E-5|22080
"*   2 Lac"                    |5.88     |-3.168808697640024E-5 |13996
"*   2 Lac"                    |5.88     |-3.168808697640024E-5 |15250
"*   3 Vul"                    |8.9071   |-4.069399161366061E-5 |12600
"*   3 Vul"                    |8.9071   |-4.069399161366061E-5 |15300
"*   4 Her"                    |6.0425   |-6.737767735431888E-5 |12831
"*   4 Lac"                    |1.2656   |-8.672290432043539E-5 |11150
"*   4 Lac"                    |1.2656   |-8.672290432043539E-5 |11200
"*   4 Lac"                    |1.2656   |-8.672290432043539E-5 |13642
"*   5 Aqr"                    |4.1831   |-7.004821465428357E-6 |11200
"*   6 Cep"                    |1.64     |-5.50365611960979E-5  |17338
"*   6 Lac"                    |1.9      |-2.9019655212070283E-5|19750
"*   6 Lac"                    |1.9      |-2.9019655212070283E-5|20890
"*   8 Cyg"                    |3.79     |-7.071308801165355E-5 |17140
"*   8 Lac A"                  |1.8914   |-3.6691377343189835E-5|26720
"*   8 Lac B"                  |2.1711   |-3.902623761453672E-5 |18836
"*   9 Cep"                    |1.0251   |-4.503013899492814E-5 |17760
"*   9 Cep"                    |1.0251   |-4.503013899492814E-5 |19040
"*   9 Cep"                    |1.0251   |-4.503013899492814E-5 |19300
"*  10 Cas"                    |3.407    |-3.0020723505996827E-6|11351
"*  10 Cas"                    |3.407    |-3.0020723505996827E-6|13002
"*  10 Lac"                    |1.89     |-3.368940612702431E-5 |32380
"*  10 Lac"                    |1.89     |-3.368940612702431E-5 |33690
"*  10 Lac"                    |1.89     |-3.368940612702431E-5 |35200
"*  11 Ari"                    |3.9534   |-4.603078572074093E-5 |11220
"*  11 Cam"                    |4.7543   |-3.6691377343189835E-5|22542
"*  11 Cyg"                    |5.3123   |-5.0033362611112686E-5|11350
"*  11 Cyg"                    |5.3123   |-5.0033362611112686E-5|13000
"*  11 Cyg"                    |5.3123   |-5.0033362611112686E-5|13002
"*  11 Per"                    |7.7748   |-2.3349459404853334E-6|13802
"*  11 Per"                    |7.7748   |-2.3349459404853334E-6|13996
"*  12 Lac"                    |2.5877   |-4.836562418697454E-5 |23809
"*  12 Lac"                    |2.5877   |-4.836562418697454E-5 |24130
"*  12 Lac"                    |2.5877   |-4.836562418697454E-5 |25630
"*  12 Vul"                    |5.171    |-8.30540107200628E-5  |17800
"*  12 Vul"                    |5.171    |-8.30540107200628E-5  |19953
"*  13 Cas"                    |3.8917   |-3.168808697640024E-5 |13740
"*  13 Tau"                    |6.2758   |-3.335585321340151E-5 |11508
"*  13 Tau"                    |6.2758   |-3.335585321340151E-5 |13335
"*  14 Aur C"                  |12.2565  |-2.8018991464651144E-5|42849
"*  14 Sge"                    |4.9546   |-5.403592348163233E-5 |13200
"*  14 Sge"                    |4.9546   |-5.403592348163233E-5 |13263
"*  14 Sge"                    |4.9546   |-5.403592348163233E-5 |13622
"*  15 Cep"                    |1.0588   |-5.803846833263293E-5 |23624
"*  15 Cep"                    |1.0588   |-5.803846833263293E-5 |25440
"*  16 Dra"                    |7.7439   |-2.8686100740804577E-5|20027
"*  16 Lac"                    |2.2387   |-4.152786757027904E-5 |21035
"*  16 Lac"                    |2.2387   |-4.152786757027904E-5 |21500
"*  16 Lac"                    |2.2387   |-4.152786757027904E-5 |22989
"*  16 Lac"                    |2.2387   |-4.152786757027904E-5 |23000
"*  16 Lac"                    |2.2387   |-4.152786757027904E-5 |23520
"*  16 Lac"                    |2.2387   |-4.152786757027904E-5 |24050
"*  16 Peg"                    |5.16     |-5.870555758369367E-5 |19099
"*  17 Com"                    |12.9991  |-4.6698864288874375E-6|11721
"*  18 Aql"                    |4.67     |-6.204099716422551E-5 |13388
"*  18 Peg"                    |2.1733   |-2.4683438408557024E-5|14580
"*  18 Peg"                    |2.1733   |-2.4683438408557024E-5|15800
"*  19 Cep"                    |1.0221   |-4.102754207979675E-5 |24720
"*  19 Cep"                    |1.0221   |-4.102754207979675E-5 |29647
"*  19 Cep"                    |1.0221   |-4.102754207979675E-5 |32000
"*  19 Cep"                    |1.0221   |-4.102754207979675E-5 |32983
"*  19 UMi"                    |5.6273   |-3.0020723505996827E-6|11641
"*  20 Cap"                    |4.6792   |-3.368940612702431E-5 |12200
"*  20 Vul"                    |3.1879   |-7.33814085279727E-5  |12050
"*  20 Vul"                    |3.1879   |-7.33814085279727E-5  |13243
"*  21 Aql"                    |4.773    |-1.0673994079279936E-5|12746
"*  21 Aql"                    |4.773    |-1.0673994079279936E-5|12900
"*  21 Aql"                    |4.773    |-1.0673994079279936E-5|13000
"*  21 Aql"                    |4.773    |-1.0673994079279936E-5|13060
"*  21 Aql"                    |4.773    |-1.0673994079279936E-5|13175
"*  21 Aql"                    |4.773    |-1.0673994079279936E-5|13263
"*  23 And"                    |26.8715  |-9.082537849780525E-5 |13552
"*  23 Cas"                    |4.1495   |-1.0340433488797984E-5|12612
"*  23 Cas"                    |4.1495   |-1.0340433488797984E-5|13263
"*  25 Cyg"                    |2.443    |-4.869917209426866E-5 |18408
"*  25 Peg"                    |4.8899   |-2.0545437689212243E-4|13677
"*  25 Peg"                    |4.8899   |-2.0545437689212243E-4|14743
"*  25 Peg"                    |4.8899   |-2.0545437689212243E-4|14791
"*  25 Vul"                    |2.5972   |-3.6691377343189835E-5|13490
"*  29 Dra"                    |11.6364  |-3.852591087250001E-5 |28795
"*  30 Cap"                    |4.277    |-3.7024929144258145E-5|13100
"*  30 Cap"                    |4.277    |-3.7024929144258145E-5|14353
"*  30 Cap"                    |4.277    |-3.7024929144258145E-5|15273
"*  30 Peg"                    |2.56     |-4.603078572074093E-5 |13881
"*  31 Peg"                    |2.01     |-1.7678740776516655E-5|18000
"*  31 Peg"                    |2.01     |-1.7678740776516655E-5|18750
"*  31 Peg"                    |2.01     |-1.7678740776516655E-5|19270
"*  35 Aqr"                    |1.335    |-2.4016326462206194E-5|17890
"*  38 Dra"                    |5.567    |-8.505522707979996E-5 |11455
"*  38 Dra"                    |5.567    |-8.505522707979996E-5 |11588
"*  38 Dra"                    |5.567    |-8.505522707979996E-5 |11721
"*  41 Tau"                    |8.0667   |-6.671259651147565E-6 |11721
"*  41 Tau"                    |8.0667   |-6.671259651147565E-6 |12600
"*  41 Tau"                    |8.0667   |-6.671259651147565E-6 |14824
"*  45 And"                    |4.9479   |-5.003448910745334E-6 |12874
"*  46 Aql"                    |4.0515   |-8.238693771023264E-5 |12900
"*  46 Aql"                    |4.0515   |-8.238693771023264E-5 |13000
"*  48 Lib"                    |7.154    |-2.5016994214865917E-5|18000
